GSE CUBE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Refresh! for new data SCO+7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Business Unit.Customer Region Hierarchy,All,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sales Channel Hierarchy,All,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fiscal Week Calendar.Fiscal Calendar,(Multiple Items),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reporting Region Hierarchy,All,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Upsell Parts.Upsell Group,All,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GSD LOB,Latitude,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Column Labels,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ASU,,,,,,,,,,,,,,,MDR,,,,,,,,,,,,,,,,,,MDR_Count,,,,,,,,,,,,,,MDR_Part_Qty,,,,,,,,,,,,,,,,,,,
Row Labels,C1,D1,D2,D3,D4,E1,E2,E3,E4,E5,E6,E7,E8,Gen3,Legacy,,C1,C2,C3,D1,D2,D3,D4,E1,E2,E3,E4,E5,E6,E7,E8,Gen3,Legacy,C1,C3,D2,D3,D4,E1,E2,E3,E4,E5,E6,E7,E8,Legacy,C1,D2,D3,D4,E1,E2,E3,E4,E5,E6,E7,E8,Legacy,,,,,,,
201812,1,,9,8,94,521,"2,486","200,203","1,229,056","8,039,127","7,511,024","7,619,083","283,282",25,"9,309",0.000%,600.000%,0.000%,0.000%,0.000%,944.444%,0.000%,0.000%,0.384%,0.563%,0.160%,0.217%,0.211%,0.191%,0.148%,0.142%,0.000%,0.000%,6,,85,,,2,14,321,"2,671","16,970","14,346","11,303",403,,9,"14,880",,,2,44,538,"4,299","35,324","29,905","20,973",845,,,,,,,,
201811,1,,9,8,94,534,"2,520","208,298","1,255,204","8,151,634","7,518,579","7,517,191","240,774",25,"9,319",0.000%,200.000%,0.000%,0.000%,0.000%,13422.222%,37.500%,1.064%,0.562%,1.151%,0.132%,0.179%,0.197%,0.192%,0.133%,0.134%,0.000%,0.000%,2,,"1,208",3,1,3,29,274,"2,245","16,030","14,411","10,033",322,,2,"12,001",,1,6,79,470,"3,961","29,777","33,098","19,076",677,,,,,,,,
201810,2,,9,8,94,564,"2,581","218,576","1,279,992","8,278,668","7,525,222","7,391,078","201,088",25,"9,322",0.000%,150.000%,0.000%,0.000%,0.000%,6366.667%,12.500%,0.000%,0.887%,0.349%,0.127%,0.159%,0.190%,0.159%,0.123%,0.156%,0.000%,0.000%,3,,573,1,,5,9,277,"2,036","15,690","11,990","9,099",314,,4,"5,792",,,6,18,522,"4,512","29,846","28,222","17,217",665,,,,,,,,
201809,2,,9,8,95,610,"2,604","225,649","1,304,368","8,374,032","7,527,405","7,256,183","170,071",25,"9,336",0.000%,50.000%,0.000%,0.000%,0.000%,2577.778%,87.500%,0.000%,1.148%,0.653%,0.136%,0.173%,0.214%,0.198%,0.136%,0.165%,0.000%,0.000%,1,,232,7,,7,17,308,"2,260","17,890","14,887","9,889",280,,3,"34,986",,,13,17,553,"4,075","33,999","38,698","19,173",578,,,,,,,,
201808,2,,9,8,95,620,"3,004","234,169","1,340,627","8,505,124","7,540,844","7,132,837","143,951",25,"9,381",0.000%,50.000%,0.000%,0.000%,0.000%,1100.000%,100.000%,0.000%,1.290%,0.366%,0.139%,0.191%,0.204%,0.209%,0.140%,0.217%,0.000%,0.000%,1,,99,8,,8,11,326,"2,556","17,362","15,749","9,966",312,,,"6,148",3,,12,12,585,"4,608","33,309","36,572","19,185",531,,,,,,,,
201807,2,,9,8,95,629,"3,068","242,061","1,368,950","8,621,544","7,548,679","6,964,664","116,915",25,"9,398",0.000%,0.000%,0.000%,0.000%,0.000%,1333.333%,75.000%,0.000%,0.954%,0.684%,0.140%,0.164%,0.219%,0.204%,0.143%,0.162%,0.000%,0.000%,,,120,6,,6,21,338,"2,245","18,902","15,369","9,988",189,,,"1,521",1,,7,39,600,"4,564","35,117","36,061","19,115",477,,,,,,,,
201806,2,,9,8,95,689,"3,152","252,699","1,395,020","8,744,114","7,555,086","6,808,840","90,037",25,"9,415",0.000%,0.000%,0.000%,0.000%,0.000%,2133.333%,100.000%,0.000%,1.161%,0.539%,0.141%,0.164%,0.205%,0.188%,0.150%,0.235%,0.000%,0.000%,,,192,8,,8,17,356,"2,290","17,941","14,217","10,188",212,,,"30,534",3,,14,41,639,"3,972","33,411","31,732","18,870",443,,,,,,,,
201805,2,,9,8,95,704,"3,224","261,959","1,417,097","8,827,784","7,560,004","6,674,860","71,488",25,"9,426",0.000%,0.000%,0.000%,0.000%,0.000%,1944.444%,150.000%,1.053%,1.705%,0.465%,0.141%,0.168%,0.217%,0.201%,0.148%,0.199%,0.000%,0.011%,,,175,12,1,12,15,369,"2,380","19,133","15,203","9,877",142,1,,"13,053",3,1,18,29,656,"3,947","36,238","34,506","19,285",312,1,,,,,,,
201804,2,,9,8,96,739,"3,283","272,912","1,448,978","8,926,199","7,563,632","6,530,091","57,813",25,"9,465",0.000%,100.000%,0.000%,0.000%,0.000%,3077.778%,50.000%,4.167%,0.947%,0.366%,0.164%,0.175%,0.210%,0.196%,0.144%,0.182%,0.000%,0.000%,2,,277,4,4,7,12,447,"2,533","18,737","14,857","9,397",105,,3,667,,4,10,20,731,"4,241","35,071","33,127","17,989",210,,,,,,,,
201803,2,,9,8,96,749,"3,390","279,383","1,474,876","9,012,963","7,568,978","6,413,328","47,193",25,"9,480",0.000%,200.000%,0.000%,0.000%,0.000%,2122.222%,75.000%,1.042%,1.869%,0.413%,0.147%,0.172%,0.202%,0.191%,0.138%,0.176%,0.000%,0.011%,4,,191,6,1,14,14,410,"2,541","18,204","14,458","8,855",83,1,4,"3,284",4,1,20,36,680,"4,185","33,878","37,758","16,956",160,1,,,,,,,
201802,2,,9,8,97,763,"3,492","288,970","1,505,442","9,090,350","7,571,938","6,318,157","41,360",25,"9,491",0.000%,0.000%,0.000%,0.000%,0.000%,15288.889%,50.000%,0.000%,1.442%,0.430%,0.173%,0.174%,0.214%,0.204%,0.149%,0.239%,0.000%,0.000%,,,"1,376",4,,11,15,501,"2,622","19,413","15,412","9,384",99,,,"9,753",2,,22,29,867,"4,463","35,887","36,587","17,950",208,,,,,,,,
201801,2,,9,8,98,801,"3,646","295,379","1,537,947","9,160,749","7,573,602","6,198,326","34,000",25,"9,507",0.000%,150.000%,0.000%,0.000%,0.000%,5566.667%,12.500%,4.082%,0.999%,0.411%,0.177%,0.180%,0.220%,0.205%,0.149%,0.174%,0.000%,0.000%,3,,501,1,4,8,15,522,"2,768","20,111","15,499","9,212",59,,7,"29,526",,5,8,32,858,"5,181","37,168","41,281","17,808",126,,,,,,,,
201753,2,,9,8,98,824,"3,682","301,993","1,591,797","9,244,861","7,575,670","6,090,021","29,168",25,"9,515",0.000%,0.000%,0.000%,0.000%,0.000%,19000.000%,62.500%,2.041%,0.364%,0.244%,0.155%,0.171%,0.205%,0.190%,0.135%,0.185%,0.000%,0.000%,,,"1,710",5,2,3,9,468,"2,724","18,954","14,424","8,211",54,,,"106,203",1,3,6,22,824,"4,480","36,046","37,335","16,093",132,,,,,,,,
201752,2,,9,23,98,841,"3,738","309,255","1,651,907","9,327,646","7,569,604","5,919,018","22,409",25,"9,547",0.000%,150.000%,0.000%,0.000%,0.000%,8211.111%,4.348%,1.020%,0.951%,0.696%,0.167%,0.172%,0.214%,0.199%,0.139%,0.156%,0.000%,0.000%,3,,739,1,1,8,26,515,"2,840","19,958","15,030","8,251",35,,7,"16,574",,1,10,47,882,"4,781","37,125","36,598","16,094",81,,,,,,,,
201751,2,,9,23,98,862,"3,873","316,376","1,702,436","9,398,809","7,572,194","5,772,522","17,703",25,"9,574",0.000%,50.000%,0.000%,0.000%,0.000%,6022.222%,26.087%,1.020%,2.320%,0.542%,0.171%,0.168%,0.210%,0.195%,0.144%,0.130%,0.000%,0.000%,1,,542,6,1,20,21,540,"2,858","19,722","14,760","8,309",23,,2,"53,924",2,1,49,45,952,"4,672","36,167","31,703","15,841",57,,,,,,,,
